Region,Indicator Code,Indicator Name,Moyenne,Mediane,Ecart Type
Latin America & Caribbean,UIS.NART.2.Q1.GPI,"UIS: Total net attendance rate, lower secondary, poorest quintile, gender parity index (GPI)",1.04030379652977,1.04432901740074,0.01414808094143866
Latin America & Caribbean,UIS.NART.2.Q1.F,"UIS: Total net attendance rate, lower secondary, poorest quintile, female (%)",85.25530147552492,85.3458080291748,6.385957770531564
Latin America & Caribbean,UIS.NART.2.Q1.M,"UIS: Total net attendance rate, lower secondary, poorest quintile, male (%)",82.0217776298523,82.3404541015625,7.428504660933354
Middle East & North Africa,LO.TIMSS.SCI8,"TIMSS: Mean performance on the science scale for eighth grade students, total",432.1366120449322,430.34692083042324,18.624218218008114
Latin America & Caribbean,UIS.NAR.1.URB.M,"UIS: Net attendance rate, primary, urban, male (%)",82.90386867523193,83.09825325012207,7.4820530085243595
Middle East & North Africa,LO.TIMSS.SCI8.FE,"TIMSS: Mean performance on the science scale for eighth grade students, female",443.52999839712623,436.6960353232705,14.845084292442571
Latin America & Caribbean,UIS.NART.2.Q1,"UIS: Total net attendance rate, lower secondary, poorest quintile, both sexes (%)",83.49951457977298,83.78384780883793,7.077022761083638
Middle East & North Africa,LO.TIMSS.SCI8.MA,"TIMSS: Mean performance on the science scale for eighth grade students, male",420.8988034148417,421.25,22.16203012276778
Europe & Central Asia,UIS.TRTP.0.F,"Percentage of female teachers in pre-primary education who are trained, female (%)",82.85990966648862,88.6447601318359,5.406816755884428
Middle East & North Africa,LO.TIMSS.MAT8.FE,"TIMSS: Mean performance on the mathematics scale for eighth grade students, female",408.68833816754153,404.59208103091953,20.080687084349115
Middle East & North Africa,LO.TIMSS.MAT8.MA,"TIMSS: Mean performance on the mathematics scale for eighth grade students, male",396.2296929458337,389.70673904846524,24.001271157791862
Middle East & North Africa,LO.TIMSS.MAT8,"TIMSS: Mean performance on the mathematics scale for eighth grade students, total",402.36052627395446,395.50118703816327,21.977863976446663
Middle East & North Africa,UIS.EA.UK.AG25T99.M,UIS: Percentage of population age 25+ with unknown educational attainment. Male,0.9289011428571428,0.38884,1.62407697686605
Middle East & North Africa,UIS.EA.UK.AG25T99,UIS: Percentage of population age 25+ with unknown educational attainment. Total,0.6303816428571429,0.46345,0.8301357612096448
Middle East & North Africa,LO.TIMSS.SCI8.INT.MA,TIMSS: Male 8th grade students reaching the intermediate international benchmark of science achievement (%),31.894283268521814,31.0395353428719,5.015476523572332
Sub-Saharan Africa,LO.SACMEQ.MAT.L3,SACMEQ: 6th grade students by mathematics proficiency level (%). Level 3 - Basic Numeracy,29.925717656243332,28.883290730432698,3.6937541334776025
Sub-Saharan Africa,LO.SACMEQ.MAT.L2,SACMEQ: 6th grade students by mathematics proficiency level (%). Level 2 - Emergent Numeracy,30.732740071324113,23.364107171769803,4.28908064033847
Latin America & Caribbean,LO.LLECE.REA6.3,LLECE: 6th grade students by reading proficiency level (%). Level 3,26.925820714285717,27.146340000000002,1.9182581335248046
Latin America & Caribbean,LO.LLECE.REA6.2,LLECE: 6th grade students by reading proficiency level (%). Level 2,36.358000714285716,37.0942475,1.7459071763721266
Sub-Saharan Africa,LO.SACMEQ.MAT.L1,SACMEQ: 6th grade students by mathematics proficiency level (%). Level 1 - Pre-Numeracy,5.240674061626515,2.7406418817371825,2.639531542826637
Latin America & Caribbean,LO.LLECE.REA6.1,LLECE: 6th grade students by reading proficiency level (%). Level 1,19.46353892857143,19.261627500000003,3.260378728743003
Latin America & Caribbean,LO.LLECE.REA6.0,LLECE: 6th grade students by reading proficiency level (%). Below Level 1,1.226759642857143,0.9616574999999999,0.8035584650859349
