,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
1243,Arab World,GDP at market prices (current US$),NY.GDP.MKTP.CD,1899517769175.74,1935661831860.00,688866978135.70,A
4908,East Asia & Pacific,GDP at market prices (current US$),NY.GDP.MKTP.CD,14933763245952.46,14349290910412.10,4627496164362.25,A
8573,East Asia & Pacific (excluding high income),GDP at market prices (current US$),NY.GDP.MKTP.CD,6605958244677.29,6276233729906.72,3384471771858.17,A
12238,Euro area,GDP at market prices (current US$),NY.GDP.MKTP.CD,12021513892970.58,12762378548313.55,2214930713474.13,A
15903,Europe & Central Asia,GDP at market prices (current US$),NY.GDP.MKTP.CD,19956239842385.45,21051747022443.05,4127585995690.96,A
19568,Europe & Central Asia (excluding high income),GDP at market prices (current US$),NY.GDP.MKTP.CD,2884444340244.34,2941952588886.37,1141716030565.10,A
23233,European Union,GDP at market prices (current US$),NY.GDP.MKTP.CD,16252001072358.48,17126882485579.10,2960429451184.24,A
26898,Heavily indebted poor countries (HIPC),GDP at market prices (current US$),NY.GDP.MKTP.CD,404380565816.20,421739567673.08,145186393821.89,A
30563,High income,GDP at market prices (current US$),NY.GDP.MKTP.CD,42947186362136.91,44272530664327.70,6665637819869.13,A
34228,Latin America & Caribbean,GDP at market prices (current US$),NY.GDP.MKTP.CD,4505239825803.43,4439098932953.97,1428874285760.80,A
37893,Latin America & Caribbean (excluding high income),GDP at market prices (current US$),NY.GDP.MKTP.CD,4138498182557.31,4083319585270.13,1331434907265.94,A
41558,Least developed countries: UN classification,GDP at market prices (current US$),NY.GDP.MKTP.CD,559619406379.99,577196244621.42,217108420526.22,A
45223,Low & middle income,GDP at market prices (current US$),NY.GDP.MKTP.CD,17547617405818.02,17224010781024.60,7235059758847.19,A
48888,Low income,GDP at market prices (current US$),NY.GDP.MKTP.CD,254730788351.72,263702405974.08,88431657372.21,A
52553,Lower middle income,GDP at market prices (current US$),NY.GDP.MKTP.CD,3802903927814.32,3682857167477.62,1496497031497.04,A
56218,Middle East & North Africa,GDP at market prices (current US$),NY.GDP.MKTP.CD,2453150038551.41,2507968029678.10,865736447573.56,A
59883,Middle East & North Africa (excluding high income),GDP at market prices (current US$),NY.GDP.MKTP.CD,1162082639698.11,1215634612586.43,414082747614.15,A
63548,Middle income,GDP at market prices (current US$),NY.GDP.MKTP.CD,17293793941485.49,16962625992757.90,7145680313471.62,A
67213,North America,GDP at market prices (current US$),NY.GDP.MKTP.CD,15891375656190.46,16111165187601.50,2129880661595.38,A
70878,OECD members,GDP at market prices (current US$),NY.GDP.MKTP.CD,42016325430731.66,43448386039910.00,6389865211151.21,A
74543,South Asia,GDP at market prices (current US$),NY.GDP.MKTP.CD,1645829196778.11,1590615335926.42,594999164570.23,A
78208,Sub-Saharan Africa,GDP at market prices (current US$),NY.GDP.MKTP.CD,1109206636803.49,1045041569430.68,436320103135.79,A
81873,Sub-Saharan Africa (excluding high income),GDP at market prices (current US$),NY.GDP.MKTP.CD,1108205959427.47,1044131694059.80,436155936373.83,A
85538,Upper middle income,GDP at market prices (current US$),NY.GDP.MKTP.CD,13489495400355.63,13277773515312.10,5651723682873.06,A
89203,World,GDP at market prices (current US$),NY.GDP.MKTP.CD,60496302783587.75,61815078417446.40,13612481522281.84,A
92868,Afghanistan,GDP at market prices (current US$),NY.GDP.MKTP.CD,13367100544.29,12486943505.74,5440863312.64,C
96533,Albania,GDP at market prices (current US$),NY.GDP.MKTP.CD,10632369556.20,11985583081.37,2964408582.14,C
100198,Algeria,GDP at market prices (current US$),NY.GDP.MKTP.CD,149824491948.15,149209154276.79,50396871722.86,B
103863,American Samoa,GDP at market prices (current US$),NY.GDP.MKTP.CD,577222222.22,574000000.00,65457577.44,D
107528,Andorra,GDP at market prices (current US$),NY.GDP.MKTP.CD,3316229041.89,3398879097.19,724582592.02,D
111193,Angola,GDP at market prices (current US$),NY.GDP.MKTP.CD,72616939603.99,78981648961.05,37852273482.87,B
114858,Antigua and Barbuda,GDP at market prices (current US$),NY.GDP.MKTP.CD,1161228997.15,1174965424.44,149955942.37,D
118523,Argentina,GDP at market prices (current US$),NY.GDP.MKTP.CD,374936135556.87,347267260844.02,131746044101.80,A
122188,Armenia,GDP at market prices (current US$),NY.GDP.MKTP.CD,8385594647.22,9233293319.10,3088800216.26,C
125853,Aruba,GDP at market prices (current US$),NY.GDP.MKTP.CD,2449090083.80,2483318435.75,271314299.99,D
129518,Australia,GDP at market prices (current US$),NY.GDP.MKTP.CD,1033185759043.91,991251568212.55,380385013282.27,A
133183,Austria,GDP at market prices (current US$),NY.GDP.MKTP.CD,373043778915.49,396032522202.60,73222078523.90,A
136848,Azerbaijan,GDP at market prices (current US$),NY.GDP.MKTP.CD,42839875462.40,46571986690.29,24120518248.34,B
140513,"Bahamas, The",GDP at market prices (current US$),NY.GDP.MKTP.CD,8358305800.00,7937794000.00,1349264371.04,C
144178,Bahrain,GDP at market prices (current US$),NY.GDP.MKTP.CD,23169450611.70,24324547872.34,7182927346.85,C
147843,Bangladesh,GDP at market prices (current US$),NY.GDP.MKTP.CD,99561598869.80,97054534855.86,31723520132.12,B
151508,Barbados,GDP at market prices (current US$),NY.GDP.MKTP.CD,4322190000.00,4492700000.00,482176200.97,D
155173,Belarus,GDP at market prices (current US$),NY.GDP.MKTP.CD,49535089187.73,53216007289.12,18782146804.21,B
158838,Belgium,GDP at market prices (current US$),NY.GDP.MKTP.CD,453944983437.74,484050411819.73,88897809596.71,A
162503,Belize,GDP at market prices (current US$),NY.GDP.MKTP.CD,1323106875.00,1352791200.00,230621616.37,D
166168,Benin,GDP at market prices (current US$),NY.GDP.MKTP.CD,6480841646.31,7033719803.55,1913223598.94,C
169833,Bermuda,GDP at market prices (current US$),NY.GDP.MKTP.CD,5398044000.00,5562240500.00,750796795.94,C
173498,Bhutan,GDP at market prices (current US$),NY.GDP.MKTP.CD,1290264723.89,1261545267.62,473976461.95,D
177163,Bolivia,GDP at market prices (current US$),NY.GDP.MKTP.CD,17788983753.88,17007158399.74,7550737867.40,C
