,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
3661,Arab World,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,88.22,88.96,2.35,C
7326,East Asia & Pacific,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.91,99.00,0.31,B
10991,East Asia & Pacific (excluding high income),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.86,98.97,0.34,B
14656,Euro area,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
18321,Europe & Central Asia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.67,99.71,0.14,A
21986,Europe & Central Asia (excluding high income),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.55,99.63,0.25,A
25651,European Union,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
29316,Heavily indebted poor countries (HIPC),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,68.37,68.98,1.93,D
32981,High income,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
36646,Latin America & Caribbean,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.76,97.92,0.51,B
40311,Latin America & Caribbean (excluding high income),"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.71,97.88,0.51,B
43976,Least developed countries: UN classification,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,72.45,73.28,2.62,D
47641,Low & middle income,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,89.03,89.44,1.27,C
51306,Low income,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,66.87,67.42,1.75,D
54971,Lower middle income,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,85.65,86.37,2.25,C
