,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
2535,Arab World,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,83.49,84.44,3.32,C
6200,East Asia & Pacific,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,98.28,100.32,4.93,B
9865,East Asia & Pacific (excluding high income),"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.99,100.17,5.34,B
13530,Euro area,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,98.49,98.95,0.91,B
17195,Europe & Central Asia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.72,98.02,1.02,B
20860,Europe & Central Asia (excluding high income),"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.64,97.82,1.94,B
24525,European Union,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.76,97.79,0.51,B
28190,Heavily indebted poor countries (HIPC),"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,59.84,63.23,7.25,D
31855,High income,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.86,97.98,0.43,B
35520,Latin America & Caribbean,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,98.73,98.97,0.87,A
39185,Latin America & Caribbean (excluding high income),"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,98.86,99.09,0.84,A
42850,Least developed countries: UN classification,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,61.46,63.02,6.17,D
46515,Low & middle income,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,87.14,88.66,3.43,C
50180,Low income,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,59.90,63.25,7.35,D
53845,Lower middle income,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,86.52,87.41,4.61,C
57510,Middle East & North Africa,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,90.42,91.22,3.62,C
61175,Middle East & North Africa (excluding high income),"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,89.91,90.96,3.56,C
64840,Middle income,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,91.56,93.06,3.21,C
68505,North America,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
72170,OECD members,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.86,97.68,0.56,B
75835,South Asia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,85.27,87.60,6.29,C
79500,Sub-Saharan Africa,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,64.79,65.86,4.50,D
83165,Sub-Saharan Africa (excluding high income),"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,64.79,65.85,4.50,D
86830,Upper middle income,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.52,99.80,4.91,B
90495,World,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,88.89,90.41,2.71,C
94160,Afghanistan,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
97825,Albania,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.65,96.12,3.38,B
101490,Algeria,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,95.80,95.15,9.85,B
105155,American Samoa,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
108820,Andorra,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
112485,Angola,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,44.08,42.48,3.79,D
116150,Antigua and Barbuda,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.05,101.07,3.26,A
119815,Argentina,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,101.95,102.54,3.05,A
123480,Armenia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,95.76,95.42,4.22,B
127145,Aruba,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,94.61,95.36,2.87,C
130810,Australia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
134475,Austria,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,99.10,98.72,1.97,A
138140,Azerbaijan,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,91.76,91.69,2.77,C
141805,"Bahamas, The","Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,101.65,102.48,4.87,A
145470,Bahrain,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,95.51,94.44,4.77,B
149135,Bangladesh,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,69.33,65.07,12.04,D
152800,Barbados,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,95.05,95.10,2.47,C
156465,Belarus,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.99,100.53,4.17,A
160130,Belgium,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,87.69,87.73,1.48,C
163795,Belize,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.44,99.87,3.62,A
167460,Benin,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,63.30,67.18,13.61,D
171125,Bermuda,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,92.72,92.17,4.51,C
174790,Bhutan,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,81.34,82.38,14.73,D
178455,Bolivia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.95,99.46,4.55,A
182120,Bosnia and Herzegovina,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
185785,Botswana,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,95.98,95.96,3.14,B
189450,Brazil,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
193115,British Virgin Islands,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,82.44,84.04,7.90,D
196780,Brunei Darussalam,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,108.01,107.75,3.63,A
200445,Bulgaria,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,98.14,97.73,4.59,B
204110,Burkina Faso,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,41.57,38.86,12.19,D
207775,Burundi,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,46.07,46.86,13.71,D
211440,Cabo Verde,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,94.42,95.43,5.75,C
215105,Cambodia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,88.17,87.16,3.67,C
218770,Cameroon,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,62.35,67.95,10.17,D
222435,Canada,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.96,96.96,0.60,B
226100,Cayman Islands,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
229765,Central African Republic,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,36.21,38.17,7.24,D
233430,Chad,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,31.39,31.09,4.66,D
237095,Channel Islands,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
240760,Chile,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.75,96.62,0.99,B
244425,China,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.97,104.37,9.61,A
248090,Colombia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,113.87,117.16,9.39,A
251755,Comoros,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,69.93,72.64,5.52,D
255420,"Congo, Dem. Rep.","Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,61.27,60.78,5.12,D
259085,"Congo, Rep.","Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,74.13,73.38,3.22,D
262750,Costa Rica,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.17,96.79,4.32,B
266415,Cote d'Ivoire,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,49.50,46.66,5.32,D
270080,Croatia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.20,93.58,5.21,B
273745,Cuba,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,94.88,95.44,3.07,C
277410,Curacao,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
281075,Cyprus,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.17,100.07,1.59,A
284740,Czech Republic,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.27,99.73,3.81,A
288405,Denmark,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.03,99.95,1.37,A
292070,Djibouti,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,40.27,41.20,10.06,D
295735,Dominica,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.38,93.24,10.75,B
299400,Dominican Republic,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,88.63,90.82,5.13,C
303065,Ecuador,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,103.40,100.69,5.58,A
306730,"Egypt, Arab Rep.","Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,96.65,95.16,6.29,B
310395,El Salvador,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,100.49,100.98,7.08,A
314060,Equatorial Guinea,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,47.39,46.69,2.59,D
317725,Eritrea,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,45.01,46.74,7.16,D
321390,Estonia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,99.60,99.70,4.36,A
325055,Ethiopia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,46.91,49.53,10.09,D
328720,Faroe Islands,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
332385,Fiji,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,104.13,104.02,4.95,A
336050,Finland,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,98.22,98.11,1.25,B
339715,France,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.44,97.44,,B
343380,French Polynesia,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,,,,A
