,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
1518,Arab World,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,63.83,63.43,3.81,C
5183,East Asia & Pacific,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,87.64,87.41,5.71,B
8848,East Asia & Pacific (excluding high income),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,86.83,86.51,6.04,B
12513,Euro area,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,88.32,87.88,1.64,B
16178,Europe & Central Asia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.60,89.76,2.82,B
19843,Europe & Central Asia (excluding high income),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.08,88.29,5.14,B
23508,European Union,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,89.64,89.71,1.24,B
27173,Heavily indebted poor countries (HIPC),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,30.68,31.95,4.63,D
30838,High income,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,92.35,92.77,1.15,B
34503,Latin America & Caribbean,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,75.62,76.31,2.45,C
38168,Latin America & Caribbean (excluding high income),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,75.10,75.85,2.49,C
41833,Least developed countries: UN classification,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,35.42,36.04,4.14,D
45498,Low & middle income,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,68.72,68.88,4.36,C
49163,Low income,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,30.72,31.53,4.57,D
52828,Lower middle income,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,64.55,65.23,6.35,C
56493,Middle East & North Africa,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,71.64,71.09,4.27,C
60158,Middle East & North Africa (excluding high income),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,69.38,68.73,4.00,C
63823,Middle income,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,73.58,73.71,4.97,C
67488,North America,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,,,A
71153,OECD members,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,90.72,91.22,1.73,B
74818,South Asia,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,63.57,64.03,7.62,C
78483,Sub-Saharan Africa,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,36.40,37.31,4.19,D
82148,Sub-Saharan Africa (excluding high income),"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,36.40,37.31,4.19,D
85813,Upper middle income,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,85.63,85.09,4.55,B
89478,World,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,71.48,71.73,3.96,C
