,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
1335,Arab World,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,66.91,66.38,3.51,C
5000,East Asia & Pacific,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,76.74,77.08,8.67,C
8665,East Asia & Pacific (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,74.75,75.16,9.20,C
12330,Euro area,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,107.09,106.58,2.24,A
15995,Europe & Central Asia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,97.48,96.34,3.11,A
19660,Europe & Central Asia (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,90.24,89.29,3.27,B
23325,European Union,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,104.27,103.48,3.10,A
26990,Heavily indebted poor countries (HIPC),"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,33.15,34.32,5.54,D
30655,High income,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,101.07,100.70,1.70,A
34320,Latin America & Caribbean,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,88.42,88.16,2.33,B
37985,Latin America & Caribbean (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,88.24,87.98,2.40,B
41650,Least developed countries: UN classification,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,36.47,36.75,4.60,D
45315,Low & middle income,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,64.24,64.41,5.28,C
48980,Low income,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,33.46,34.37,5.30,D
52645,Lower middle income,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,57.97,57.88,5.80,C
56310,Middle East & North Africa,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,74.78,73.99,3.69,C
59975,Middle East & North Africa (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,72.64,71.80,3.40,C
63640,Middle income,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,67.86,67.82,5.82,C
67305,North America,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,95.93,96.12,0.92,B
70970,OECD members,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,97.89,97.67,2.00,A
74635,South Asia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,55.89,55.92,6.74,C
78300,Sub-Saharan Africa,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,36.64,37.36,5.09,D
81965,Sub-Saharan Africa (excluding high income),"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,36.63,37.36,5.09,D
85630,Upper middle income,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,81.87,81.72,7.46,C
89295,World,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,68.40,68.42,4.80,C
92960,Afghanistan,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,43.11,46.73,13.75,D
96625,Albania,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,84.45,84.53,7.71,B
100290,Algeria,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,82.55,79.29,12.80,C
103955,American Samoa,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,A
107620,Andorra,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,A
111285,Angola,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,24.00,24.99,6.17,D
114950,Antigua and Barbuda,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,102.52,106.12,11.17,A
118615,Argentina,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,98.86,97.68,5.01,A
122280,Armenia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,93.32,93.30,2.27,B
125945,Aruba,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,98.63,96.72,5.20,A
129610,Australia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,136.43,133.36,11.26,A
133275,Austria,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,99.26,99.21,0.90,A
136940,Azerbaijan,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,A
140605,"Bahamas, The","Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,92.67,92.81,2.07,B
144270,Bahrain,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,94.49,95.30,2.38,B
147935,Bangladesh,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,49.28,48.32,4.14,D
151600,Barbados,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,104.59,104.06,2.04,A
155265,Belarus,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,107.82,107.03,1.88,A
158930,Belgium,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,116.32,107.18,20.30,A
162595,Belize,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,75.58,75.70,3.18,C
166260,Benin,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,41.15,47.68,17.23,D
169925,Bermuda,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,77.32,77.39,2.38,C
173590,Bhutan,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,58.24,59.11,14.34,C
177255,Bolivia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,83.32,84.36,4.58,C
180920,Bosnia and Herzegovina,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,A
184585,Botswana,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,78.50,78.53,2.54,C
188250,Brazil,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,97.51,96.67,2.85,A
191915,British Virgin Islands,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,101.09,99.96,4.55,A
195580,Brunei Darussalam,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,98.46,98.51,5.29,A
199245,Bulgaria,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,92.19,91.53,2.66,B
202910,Burkina Faso,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,19.52,19.60,5.64,D
206575,Burundi,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,21.21,21.29,7.14,D
210240,Cabo Verde,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,82.43,83.18,8.93,C
213905,Cambodia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,36.10,41.06,12.78,D
217570,Cameroon,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,37.17,35.94,10.89,D
221235,Canada,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,103.65,102.30,3.47,A
224900,Cayman Islands,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,A
228565,Central African Republic,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,16.28,17.38,2.23,D
232230,Chad,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,19.26,21.00,4.32,D
235895,Channel Islands,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,,,A
239560,Chile,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,95.23,95.81,3.89,B
243225,China,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,80.19,80.61,11.60,C
246890,Colombia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,93.20,96.60,10.50,B
250555,Comoros,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,59.33,59.33,,C
254220,"Congo, Dem. Rep.","Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,39.36,39.67,2.29,D
