,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
2077,Arab World,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,79.12,79.12,,B
5742,East Asia & Pacific,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
9407,East Asia & Pacific (excluding high income),"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
13072,Euro area,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
16737,Europe & Central Asia,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
20402,Europe & Central Asia (excluding high income),"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
24067,European Union,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
27732,Heavily indebted poor countries (HIPC),"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,53.72,53.20,2.13,D
31397,High income,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
35062,Latin America & Caribbean,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,82.25,82.43,0.52,B
38727,Latin America & Caribbean (excluding high income),"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,82.49,82.58,0.40,B
42392,Least developed countries: UN classification,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,58.95,57.90,2.07,C
46057,Low & middle income,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
49722,Low income,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,54.43,53.99,2.86,D
53387,Lower middle income,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
57052,Middle East & North Africa,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,78.63,78.63,,C
60717,Middle East & North Africa (excluding high income),"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,73.81,73.81,,C
64382,Middle income,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
68047,North America,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
71712,OECD members,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
75377,South Asia,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
79042,Sub-Saharan Africa,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,62.76,61.26,5.02,C
82707,Sub-Saharan Africa (excluding high income),"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,62.75,61.25,5.02,C
86372,Upper middle income,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
90037,World,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
93702,Afghanistan,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
97367,Albania,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
101032,Algeria,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
104697,American Samoa,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
108362,Andorra,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,100.00,100.00,,A
112027,Angola,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
115692,Antigua and Barbuda,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,44.62,44.98,2.96,D
119357,Argentina,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
123022,Armenia,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
126687,Aruba,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,96.02,96.03,2.66,A
130352,Australia,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
134017,Austria,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
137682,Azerbaijan,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,,,,A
141347,"Bahamas, The","Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,88.12,88.21,1.98,B
145012,Bahrain,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,82.22,82.55,0.97,B
148677,Bangladesh,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,58.43,58.43,0.56,D
152342,Barbados,"Percentage of teachers in secondary education who are trained, both sexes (%)",SE.SEC.TCAQ.ZS,61.47,60.46,4.93,C
