,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
2978,Arab World,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,324949.45,330437.27,59069.01,A
6643,East Asia & Pacific,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,2945194.70,3077790.75,485627.34,A
10308,East Asia & Pacific (excluding high income),"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,2088947.65,2203747.50,425711.24,A
13973,Euro area,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,982187.96,998534.41,73983.20,A
17638,Europe & Central Asia,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,2580754.00,2631905.12,185119.33,A
21303,Europe & Central Asia (excluding high income),"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1206925.91,1231981.00,86824.00,A
24968,European Union,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1369191.23,1396663.44,97601.80,A
28633,Heavily indebted poor countries (HIPC),"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,152490.20,150794.80,43398.67,A
32298,High income,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,3921488.90,3999004.50,382117.57,A
35963,Latin America & Caribbean,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1473281.45,1562927.00,266960.27,A
39628,Latin America & Caribbean (excluding high income),"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1380440.07,1468402.56,250741.82,A
43293,Least developed countries: UN classification,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,217713.29,208959.04,70411.29,A
46958,Low & middle income,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,6389470.30,6610144.25,1197335.61,A
50623,Low income,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,166387.48,167025.45,35703.42,A
54288,Lower middle income,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,2090470.26,2072536.69,503880.44,A
57953,Middle East & North Africa,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,532652.21,524961.70,125302.88,A
61618,Middle East & North Africa (excluding high income),"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,422580.60,418343.69,99991.25,A
65283,Middle income,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,6254819.80,6451623.00,1196150.30,A
68948,North America,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1534756.68,1569336.06,175667.55,A
72613,OECD members,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,4162460.30,4233107.00,410590.46,A
76278,South Asia,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1012639.01,959360.22,376825.22,A
79943,Sub-Saharan Africa,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,232992.63,230533.90,51543.88,A
83608,Sub-Saharan Africa (excluding high income),"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,232975.14,230533.90,51522.08,A
87273,Upper middle income,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,4164349.58,4379086.50,725771.17,A
90938,World,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,10342703.45,10617660.00,1611447.13,A
94603,Afghanistan,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,3199.50,3199.50,201.53,C
98268,Albania,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,6610.33,7108.00,3445.56,C
101933,Algeria,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,38255.25,38475.00,7945.85,B
105598,American Samoa,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,105.00,105.00,,D
109263,Andorra,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,109.00,107.00,29.97,D
112928,Angola,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,3324.00,1286.00,3937.70,C
116593,Antigua and Barbuda,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,178.00,173.00,29.96,D
120258,Argentina,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,132433.33,142283.00,17071.38,A
123923,Armenia,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,16273.67,16430.00,494.36,B
127588,Aruba,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,212.30,226.00,42.58,D
131253,Australia,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,50613.47,50613.47,,B
134918,Austria,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,42642.17,43418.50,9974.09,B
138583,Azerbaijan,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,25005.50,25198.50,823.89,B
142248,"Bahamas, The","Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,,,,A
145913,Bahrain,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1856.00,1856.00,32.53,C
149578,Bangladesh,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,61884.50,60052.00,15466.68,B
153243,Barbados,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,724.50,724.50,86.97,D
156908,Belarus,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,41043.90,41251.00,1208.15,B
160573,Belgium,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,27108.60,27018.50,2077.09,B
164238,Belize,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,400.00,418.00,32.92,D
167903,Benin,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,4232.80,4141.00,2355.21,C
171568,Bermuda,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,75.83,77.00,10.40,D
175233,Bhutan,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,755.00,804.00,224.14,D
178898,Bolivia,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,14247.00,14247.00,2033.64,B
182563,Bosnia and Herzegovina,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,7650.00,8553.00,1909.69,C
186228,Botswana,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,2141.00,2141.00,,C
189893,Brazil,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,332458.00,357418.00,61164.39,A
193558,British Virgin Islands,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,105.00,105.00,,D
197223,Brunei Darussalam,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,642.20,658.00,68.07,D
200888,Bulgaria,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,21961.70,21413.50,1330.75,B
204553,Burkina Faso,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,2813.38,2702.00,771.10,C
208218,Burundi,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1649.00,1784.00,786.72,D
211883,Cabo Verde,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,841.40,843.00,391.10,D
215548,Cambodia,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,4545.25,2879.50,4192.87,C
219213,Cameroon,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,4183.88,4034.50,1190.43,C
222878,Canada,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,133477.00,133477.00,,A
226543,Cayman Islands,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,32.50,29.50,12.12,D
230208,Central African Republic,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,343.75,333.00,27.69,D
233873,Chad,"Teachers in tertiary education programmes, both sexes (number)",SE.TER.TCHR,1669.80,2023.00,816.06,C
