,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
1291,Arab World,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
4956,East Asia & Pacific,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
8621,East Asia & Pacific (excluding high income),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
12286,Euro area,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
15951,Europe & Central Asia,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
19616,Europe & Central Asia (excluding high income),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
23281,European Union,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
26946,Heavily indebted poor countries (HIPC),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
30611,High income,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
34276,Latin America & Caribbean,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
37941,Latin America & Caribbean (excluding high income),Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
41606,Least developed countries: UN classification,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
45271,Low & middle income,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
48936,Low income,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
52601,Lower middle income,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
56266,Middle East & North Africa,Government expenditure per tertiary student as % of GDP per capita (%),SE.XPD.TERT.PC.ZS,,,,A
