,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
3348,Arab World,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.39,11.40,0.98,A
7013,East Asia & Pacific,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.44,4.42,0.14,D
10678,East Asia & Pacific (excluding high income),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.45,4.44,0.14,D
14343,Euro area,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.50,9.51,1.50,B
18008,Europe & Central Asia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.62,8.93,0.83,B
21673,Europe & Central Asia (excluding high income),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.28,8.14,0.89,B
25338,European Union,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.01,9.08,1.28,B
29003,Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.34,6.32,0.27,C
32668,High income,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.10,7.29,1.03,C
36333,Latin America & Caribbean,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.07,7.90,1.23,B
39998,Latin America & Caribbean (excluding high income),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,8.06,7.85,1.25,B
43663,Least developed countries: UN classification,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.46,5.50,0.20,C
47328,Low & middle income,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.75,5.61,0.28,C
50993,Low income,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.54,5.54,0.16,C
54658,Lower middle income,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.56,5.46,0.30,C
58323,Middle East & North Africa,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.01,10.96,0.81,A
61988,Middle East & North Africa (excluding high income),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,12.10,12.08,0.90,A
65653,Middle income,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.77,5.62,0.31,C
69318,North America,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.77,6.60,2.01,C
72983,OECD members,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.11,7.30,1.07,C
76648,South Asia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.18,4.07,0.28,D
80313,Sub-Saharan Africa,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.80,7.77,0.23,B
83978,Sub-Saharan Africa (excluding high income),"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.80,7.77,0.23,B
87643,Upper middle income,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.94,5.82,0.39,C
91308,World,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.99,6.00,0.25,C
94973,Afghanistan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.53,8.20,2.30,B
98638,Albania,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.84,13.80,0.75,A
102303,Algeria,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.35,11.15,6.06,A
105968,American Samoa,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
109633,Andorra,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
113298,Angola,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.32,6.25,0.14,C
116963,Antigua and Barbuda,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
120628,Argentina,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.00,8.15,2.50,B
124293,Armenia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,17.44,17.20,0.99,A
127958,Aruba,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,,,,A
131623,Australia,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,5.15,5.15,0.62,C
135288,Austria,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.94,4.90,0.43,D
138953,Azerbaijan,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,6.48,5.80,1.99,C
142618,"Bahamas, The","Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.47,12.10,3.47,A
146283,Bahrain,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,1.30,1.35,0.12,D
149948,Bangladesh,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,4.18,4.40,0.61,D
153613,Barbados,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,9.77,9.65,1.49,B
157278,Belarus,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,0.69,0.70,0.10,D
160943,Belgium,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,7.69,7.70,0.65,B
164608,Belize,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,11.35,11.35,2.15,A
168273,Benin,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,1.00,1.00,0.09,D
