,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
2483,Arab World,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,61.43,61.97,1.49,C
6148,East Asia & Pacific,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,70.34,70.80,1.17,A
9813,East Asia & Pacific (excluding high income),"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,70.63,71.20,1.38,A
13478,Euro area,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.42,66.50,0.54,B
17143,Europe & Central Asia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.61,67.71,0.35,B
20808,Europe & Central Asia (excluding high income),"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,68.62,68.91,0.85,A
24473,European Union,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.87,67.04,0.44,B
28138,Heavily indebted poor countries (HIPC),"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,52.24,52.17,0.39,D
31803,High income,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.21,67.33,0.23,B
35468,Latin America & Caribbean,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.97,65.15,1.23,B
39133,Latin America & Caribbean (excluding high income),"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.86,65.05,1.25,B
42798,Least developed countries: UN classification,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,54.88,54.87,0.61,D
46463,Low & middle income,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.63,64.94,0.98,C
50128,Low income,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,52.66,52.58,0.33,D
53793,Lower middle income,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,62.02,62.18,1.06,C
57458,Middle East & North Africa,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.07,64.80,1.95,C
61123,Middle East & North Africa (excluding high income),"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,63.30,64.01,1.73,C
64788,Middle income,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.88,66.23,1.11,B
68453,North America,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.95,67.07,0.30,B
72118,OECD members,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.55,66.64,0.22,B
75783,South Asia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,62.54,62.64,1.24,C
79448,Sub-Saharan Africa,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,53.14,53.10,0.25,D
83113,Sub-Saharan Africa (excluding high income),"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,53.14,53.10,0.25,D
86778,Upper middle income,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,70.12,70.67,1.35,A
90443,World,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.06,65.35,0.80,B
94108,Afghanistan,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,50.18,50.02,0.65,D
97773,Albania,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.32,66.47,1.71,B
101438,Algeria,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.30,66.86,1.78,B
105103,American Samoa,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,,,,A
108768,Andorra,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,,,,A
112433,Angola,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,50.32,50.33,0.08,D
116098,Antigua and Barbuda,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.12,66.06,1.32,B
119763,Argentina,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,63.37,63.53,0.54,C
123428,Armenia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,68.22,68.89,1.81,A
127093,Aruba,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.31,69.20,0.40,A
130758,Australia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.30,67.39,0.33,B
134423,Austria,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.58,67.59,0.19,B
138088,Azerbaijan,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.39,70.29,2.75,A
141753,"Bahamas, The","Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.30,69.56,1.73,A
145418,Bahrain,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,75.07,76.43,3.27,A
149083,Bangladesh,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,62.48,62.59,1.59,C
152748,Barbados,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.46,67.59,0.38,B
156413,Belarus,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,70.31,70.57,0.95,A
160078,Belgium,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.61,65.62,0.16,B
163743,Belize,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,59.56,59.70,2.14,C
167408,Benin,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,52.68,52.69,0.49,D
171073,Bermuda,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,,,,A
174738,Bhutan,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,63.43,64.16,3.44,C
178403,Bolivia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,58.87,58.91,1.11,C
182068,Bosnia and Herzegovina,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.66,69.92,0.69,A
185733,Botswana,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,62.70,63.01,1.42,C
189398,Brazil,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.67,67.88,1.29,A
193063,British Virgin Islands,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,,,,A
196728,Brunei Darussalam,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,70.05,70.18,1.38,A
200393,Bulgaria,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,68.42,68.75,0.74,A
204058,Burkina Faso,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,51.13,51.11,0.33,D
207723,Burundi,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,52.13,52.83,1.69,D
211388,Cabo Verde,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,58.88,59.28,3.30,C
215053,Cambodia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,61.42,62.09,2.59,C
218718,Cameroon,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,52.99,53.11,0.54,D
222383,Canada,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.11,69.27,0.41,A
226048,Cayman Islands,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,,,,A
229713,Central African Republic,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,53.68,53.80,0.37,D
233378,Chad,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,48.65,48.52,0.43,D
237043,Channel Islands,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,68.71,68.76,0.15,A
240708,Chile,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.79,68.03,0.95,A
244373,China,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,72.87,73.44,1.60,A
248038,Colombia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.94,67.25,1.41,B
251703,Comoros,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,55.43,55.63,1.05,D
255368,"Congo, Dem. Rep.","Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,50.96,50.92,0.28,D
259033,"Congo, Rep.","Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,54.83,54.96,0.23,D
262698,Costa Rica,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,67.13,67.50,1.48,B
266363,Cote d'Ivoire,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,53.42,53.35,0.31,D
270028,Croatia,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.98,67.04,0.19,B
273693,Cuba,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.85,70.08,0.55,A
277358,Curacao,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.76,66.98,0.69,B
281023,Cyprus,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,69.94,70.34,1.04,A
284688,Czech Republic,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,70.23,70.51,0.99,A
288353,Denmark,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.60,65.62,0.59,B
292018,Djibouti,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,60.46,60.73,2.05,C
295683,Dominica,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,,,,A
